Node_ID,Main_Tag,Detailed_Tag
39716996,Moda_Lusso,Puro_Moda_Lusso
39725336,Action_Figure,Puro_Action_Figure
39729875,Generalista,Generalista
39736343,Moda_Lusso,Puro_Moda_Lusso
39737783,Generalista,Generalista
39771134,Action_Figure,Puro_Action_Figure
39772247,Moda_Lusso,Puro_Moda_Lusso
39773644,Generalista,Generalista_Puro
39785919,Gaming_Console,Puro_Gaming_Console
39792835,Generalista,Generalista_Puro
39796206,Multi_category,Multi_category_Fumetti_Manga_Action_Figure
39797996,Generalista,Generalista_Puro
39798123,Moda_Lusso,Puro_Moda_Lusso
39807600,Action_Figure,Puro_Action_Figure
39808119,Media_Vinili,Puro_Media_Vinili
39817641,Moda_Lusso,Puro_Moda_Lusso
39818767,Generalista,Debole_Action_Figure
39830164,Multi_category,Multi_category_Action_Figure_Fumetti_Manga
39842384,Generalista,Generalista_Puro
39862419,Action_Figure,Puro_Action_Figure
39869288,Multi_category,Multi_category_Action_Figure_Gaming_Console
39869534,Generalista,Generalista
39881720,Multi_category,Multi_category_Gaming_Console_Moda_Lusso
39900141,Generalista,Generalista_Puro
39907787,Generalista,Generalista_Puro
39964692,Multi_category,Multi_category_Action_Figure_Media_Vinili
39991853,Generalista,Generalista
39993045,Media_Vinili,Puro_Media_Vinili
39998877,Moda_Lusso,Puro_Moda_Lusso
40004847,Generalista,Generalista
40009865,Media_Vinili,Puro_Media_Vinili
40017338,Moda_Lusso,Puro_Moda_Lusso
40018872,Generalista,Debole_Moda_Lusso
40028689,Moda_Lusso,Puro_Moda_Lusso
40058526,Generalista,Generalista_Puro
40075409,Generalista,Generalista
40078545,Generalista,Generalista_Puro
40084754,Moda_Lusso,Puro_Moda_Lusso
40085572,Moda_Lusso,Puro_Moda_Lusso
40088160,Generalista,Debole_Moda_Lusso
40117385,Multi_category,Multi_category_Tech_Elettronica_Action_Figure
40118752,Moda_Lusso,Puro_Moda_Lusso
40131108,Moda_Lusso,Puro_Moda_Lusso
40136285,Moda_Lusso,Puro_Moda_Lusso
40141445,Moda_Lusso,Puro_Moda_Lusso
40146717,Generalista,Generalista
40153851,Generalista,Debole_Action_Figure
40162879,Generalista,Debole_Moda_Lusso
40164200,Generalista,Debole_Action_Figure
40193330,Generalista,Generalista_Puro
40196487,Moda_Lusso,Puro_Moda_Lusso
40204523,Action_Figure,Puro_Action_Figure
40212176,Action_Figure,Puro_Action_Figure
40215933,Generalista,Debole_Media_Vinili
40225680,Action_Figure,Puro_Action_Figure
40238606,Generalista,Debole_Media_Vinili
40271194,Generalista,Generalista
40279458,Moda_Lusso,Puro_Moda_Lusso
40294076,Generalista,Debole_Media_Vinili
40310793,Media_Vinili,Puro_Media_Vinili
40311258,Action_Figure,Puro_Action_Figure
40313019,Generalista,Debole_Fumetti_Manga
40313592,Action_Figure,Puro_Action_Figure
40323054,Generalista,Generalista_Puro
40328508,Generalista,Debole_Action_Figure
40331731,Generalista,Debole_Moda_Lusso
40334511,Generalista,Generalista_Puro
40344277,Multi_category,Multi_category_Gaming_Console_Carte_TCG
40345450,Generalista,Debole_Moda_Lusso
40371659,Multi_category,Multi_category_Moda_Lusso_Tech_Elettronica
40380313,Multi_category,Multi_category_Moda_Lusso_Action_Figure
40381067,Media_Vinili,Puro_Media_Vinili
40398001,Generalista,Generalista
40399077,Generalista,Generalista
40414254,Generalista,Debole_Action_Figure
40426617,Generalista,Debole_Gaming_Console
40438150,Fumetti_Manga,Puro_Fumetti_Manga
40439166,Generalista,Debole_Action_Figure
40443828,Moda_Lusso,Puro_Moda_Lusso
40464278,Generalista,Debole_Action_Figure
40465890,Action_Figure,Puro_Action_Figure
40466600,Action_Figure,Puro_Action_Figure
40477191,Multi_category,Multi_category_Carte_TCG_Fumetti_Manga
40480796,Action_Figure,Puro_Action_Figure
40486729,Moda_Lusso,Puro_Moda_Lusso
